Dam Name,Report Date,Report Time,Dead Storage (MCM),Design Live Storage (MCM),Design Gross Storage (MCM),Current Live Storage (MCM),Current Gross Storage (MCM),Current Live Storage (%),Last Year Storage (%),Status
Temghar,27/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,25.66,PDF Not Available
Gunjawani,26/06/2026,08:26 स.,0.21,104.48,104.69,18.93,19.14,18.12,55.09,Success
Khadakwasla,26/06/2026,08:00 स.,30.0,55.91,85.91,11.06,41.06,19.78,63.6,Success
Mulshi,26/06/2026,08:00 स.,230.0,522.76,752.76,50.19,280.19,9.6,50.26,Success
Panshet,26/06/2026,07:28 स.,9.0,301.61,310.61,53.62,62.62,17.78,39.87,Success
Temghar,26/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,17.34,Success
Gunjawani,25/06/2026,06:44 स.,0.21,104.48,104.69,18.93,19.14,18.12,53.4,Success
Khadakwasla,25/06/2026,08:06 स.,30.0,55.91,85.91,11.35,41.35,20.3,60.87,Success
Mulshi,25/06/2026,07:17 स.,230.0,522.76,752.76,54.13,284.13,10.35,48.82,Success
Panshet,25/06/2026,08:07 स.,9.0,301.61,310.61,53.42,62.42,17.71,38.12,Success
Temghar,25/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,17.34,Success
Gunjawani,24/06/2026,08:00 स.,0.21,104.48,104.69,18.84,19.05,18.03,48.98,Success
Khadakwasla,24/06/2026,08:00 स.,30.0,55.91,85.91,13.88,43.88,24.83,63.94,Success
Mulshi,24/06/2026,07:12 स.,230.0,522.76,752.76,53.87,283.87,10.3,44.67,Success
Panshet,24/06/2026,08:10 स.,9.0,301.61,310.61,53.19,62.19,17.64,35.02,Success
Temghar,24/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,17.34,Success
Gunjawani,23/06/2026,05:32 स.,0.21,104.48,104.69,18.76,18.97,17.96,44.56,Success
Khadakwasla,23/06/2026,08:00 स.,30.0,55.91,85.91,14.6,44.6,26.11,62.17,Success
Mulshi,23/06/2026,08:00 स.,230.0,522.76,752.76,55.49,285.49,10.61,42.72,Success
Panshet,23/06/2026,07:35 स.,9.0,301.61,310.61,53.19,62.19,17.64,31.34,Success
Temghar,23/06/2026,08:36 स.,2.95,105.01,107.96,0.0,2.95,0.0,17.34,Success
Gunjawani,22/06/2026,05:31 स.,0.21,104.48,104.69,18.76,18.97,17.96,43.23,Success
Khadakwasla,22/06/2026,08:00 स.,30.0,55.91,85.91,16.18,46.18,28.94,63.6,Success
Mulshi,22/06/2026,07:00 स.,230.0,522.76,752.76,57.11,287.11,10.92,40.78,Success
Panshet,22/06/2026,07:35 स.,9.0,301.61,310.61,53.19,62.19,17.64,30.21,Success
Temghar,22/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,17.34,Success
Gunjawani,21/06/2026,05:47 स.,0.21,104.48,104.69,18.76,18.97,17.96,40.56,Success
Khadakwasla,21/06/2026,07:56 स.,30.0,55.91,85.91,15.94,45.94,28.51,64.1,Success
Mulshi,21/06/2026,07:00 स.,230.0,522.76,752.76,59.28,289.28,11.34,36.76,Success
Panshet,21/06/2026,07:56 स.,9.0,301.61,310.61,53.19,62.19,17.64,28.11,Success
Temghar,21/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,17.34,Success
Gunjawani,20/06/2026,06:20 स.,0.21,104.48,104.69,18.76,18.97,17.96,37.0,Success
Khadakwasla,20/06/2026,08:50 स.,30.0,55.91,85.91,17.44,47.44,31.19,78.39,Success
Mulshi,20/06/2026,06:58 स.,230.0,522.76,752.76,61.99,291.99,11.86,33.63,Success
Panshet,20/06/2026,08:50 स.,9.0,301.61,310.61,53.62,62.62,17.78,25.05,Success
Temghar,20/06/2026,08:44 स.,2.95,105.01,107.96,0.0,2.95,0.0,13.41,Success
Gunjawani,19/06/2026,05:45 स.,0.21,104.48,104.69,18.76,18.97,17.96,29.91,Success
Khadakwasla,19/06/2026,07:00 स.,30.0,55.91,85.91,19.64,49.64,35.13,64.75,Success
Mulshi,19/06/2026,06:33 स.,230.0,522.76,752.76,64.96,294.96,12.43,26.05,Success
Panshet,19/06/2026,07:22 स.,9.0,301.61,310.61,53.62,62.62,17.78,20.28,Success
Temghar,19/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,8.76,Success
Gunjawani,18/06/2026,06:15 स.,0.21,104.48,104.69,18.76,18.97,17.96,27.33,Success
Khadakwasla,18/06/2026,07:46 स.,30.0,55.91,85.91,20.49,50.49,36.65,61.51,Success
Mulshi,18/06/2026,06:58 स.,230.0,522.76,752.76,67.95,297.95,13.0,22.6,Success
Panshet,18/06/2026,07:46 स.,9.0,301.61,310.61,53.81,62.81,17.84,17.91,Success
Temghar,18/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,5.97,Success
Gunjawani,17/06/2026,06:32 स.,0.21,104.48,104.69,18.76,18.97,17.96,24.42,Success
Khadakwasla,17/06/2026,08:00 स.,30.0,55.91,85.91,22.28,52.28,39.85,46.97,Success
Mulshi,17/06/2026,07:00 स.,230.0,522.76,752.76,71.01,301.01,13.58,21.91,Success
Panshet,17/06/2026,06:56 स.,9.0,301.61,310.61,53.81,62.81,17.84,13.42,Success
Temghar,17/06/2026,08:00 स.,2.95,105.01,107.96,0.0,2.95,0.0,4.39,Success
Gunjawani,16/06/2026,06:00 स.,0.21,104.48,104.69,18.76,18.97,17.96,23.76,Success
Khadakwasla,16/06/2026,08:11 स.,30.0,55.91,85.91,22.56,52.56,40.35,46.97,Success
Mulshi,16/06/2026,06:00 स.,230.0,522.76,752.76,74.35,304.35,14.22,18.81,Success
Panshet,16/06/2026,08:12 स.,9.0,301.61,310.61,53.81,62.81,17.84,13.42,Success
Temghar,16/06/2026,08:49 स.,2.95,105.01,107.96,0.0,2.95,0.0,0.84,Success
